"2007/01/11","09:00","JPY","L","Prelim Machine Tool Orders y/y"
"2007/01/11","12:30","GBP","H","Manufacturing Production m/m"
"2007/01/11","12:30","GBP","L","Industrial Production m/m"
"2007/01/11","13:00","EUR","L","Final GDP q/q"
"2007/01/11","15:00","GBP","H","MPC Rate Statement"
"2007/01/11","15:00","GBP","H","Official Bank Rate"
"2007/01/11","15:45","EUR","M","Minimum Bid Rate"
"2007/01/11","16:00","USD","L","FOMC Member Geithner Speaks"
"2007/01/11","16:30","EUR","H","ECB Press Conference"
"2007/01/11","16:30","USD","L","Unemployment Claims"
"2007/01/11","18:30","GBP","L","CB Leading Index m/m"
"2007/01/11","18:30","USD","L","Natural Gas Storage"
"2007/01/12","00:45","NZD","M","Building Consents m/m"
"2007/01/12","02:50","JPY","L","Bank Lending y/y"
"2007/01/12","02:50","JPY","L","M2 Money Stock y/y"
"2007/01/12","03:01","GBP","L","NIESR GDP Estimate"
"2007/01/12","08:00","JPY","L","Economy Watchers Sentiment"
"2007/01/12","10:45","EUR","L","French Final CPI m/m"
"2007/01/12","16:30","USD","H","Core Retail Sales m/m"
"2007/01/12","16:30","USD","H","Retail Sales m/m"
"2007/01/12","16:30","USD","M","Import Prices m/m"
"2007/01/12","18:00","USD","M","Business Inventories m/m"
"2007/01/12","22:00","USD","M","Federal Budget Balance"
"2007/01/15","02:30","AUD","L","MI Inflation Gauge m/m"
"2007/01/15","02:50","JPY","M","Core Machinery Orders m/m"
"2007/01/15","03:30","AUD","M","Home Loans m/m"
"2007/01/15","05:00","CNY","L","M2 Money Supply y/y"
"2007/01/15","05:00","CNY","M","New Loans"
"2007/01/15","12:00","EUR","L","Italian Industrial Production m/m"
"2007/01/15","12:15","CNY","L","Foreign Direct Investment ytd/y"
"2007/01/15","12:30","EUR","L","Sentix Investor Confidence"
"2007/01/15","12:30","GBP","H","PPI Input m/m"
"2007/01/15","12:30","GBP","L","ONS HPI y/y"
"2007/01/15","12:30","GBP","L","PPI Output m/m"
"2007/01/15","13:00","EUR","M","Industrial Production m/m"
"2007/01/15","16:30","CAD","L","New Motor Vehicle Sales m/m"
"2007/01/16","00:00","NZD","H","NZIER Business Confidence"
"2007/01/16","02:50","JPY","L","PPI y/y"
"2007/01/16","03:01","GBP","M","RICS House Price Balance"
"2007/01/16","07:30","JPY","L","Revised Industrial Production m/m"
"2007/01/16","12:30","GBP","H","CPI y/y"
"2007/01/16","12:30","GBP","L","RPI y/y"
"2007/01/16","12:30","GBP","M","Core CPI y/y"
"2007/01/16","13:00","EUR","L","ZEW Economic Sentiment"
"2007/01/16","13:00","EUR","M","German ZEW Economic Sentiment"
"2007/01/16","15:00","GBP","M","MPC Member Sentance Speaks"
"2007/01/16","16:30","USD","M","Empire State Manufacturing Index"
"2007/01/16","17:00","CAD","H","BOC Rate Statement"
"2007/01/16","17:00","CAD","H","Overnight Rate"
"2007/01/17","00:45","NZD","H","CPI q/q"
"2007/01/17","00:45","NZD","L","FPI m/m"
"2007/01/17","02:30","AUD","L","MI Leading Index m/m"
"2007/01/17","02:50","JPY","L","Current Account"
"2007/01/17","08:00","JPY","L","Consumer Confidence"
"2007/01/17","10:00","EUR","L","German Final CPI m/m"
"2007/01/17","12:30","GBP","H","Claimant Count Change"
"2007/01/17","12:30","GBP","L","Unemployment Rate"
"2007/01/17","12:30","GBP","M","Average Earnings Index 3m/y"
"2007/01/17","13:00","EUR","L","Final Core CPI y/y"
"2007/01/17","13:00","EUR","L","Final CPI y/y"
"2007/01/17","13:00","EUR","L","Trade Balance"
"2007/01/17","16:30","USD","H","PPI m/m"
"2007/01/17","16:30","USD","M","Core PPI m/m"
"2007/01/17","17:00","USD","H","TIC Long-Term Purchases"
"2007/01/17","17:15","USD","M","Capacity Utilization Rate"
"2007/01/17","17:15","USD","M","Industrial Production m/m"
"2007/01/17","21:00","USD","L","NAHB Housing Market Index"
"2007/01/17","21:00","USD","M","FOMC Member Mishkin Speaks"
"2007/01/17","22:00","USD","M","Beige Book"
"2007/01/18","02:50","JPY","M","Tertiary Industry Activity m/m"
"2007/01/18","03:30","AUD","L","RBA Bulletin"
"2007/01/18","06:45","JPY","L","30-y Bond Auction"
"2007/01/18","07:00","JPY","H","Overnight Call Rate"
"2007/01/18","09:00","JPY","L","BOJ Monthly Report"
"2007/01/18","09:30","JPY","M","BOJ Press Conference"
"2007/01/18","11:15","CHF","M","Retail Sales y/y"
"2007/01/18","12:00","EUR","L","Italian Trade Balance"
"2007/01/18","12:37","EUR","L","Spanish 10-y Bond Auction"
"2007/01/18","13:00","CHF","M","Credit Suisse Economic Expectations"
"2007/01/18","13:00","EUR","M","ECB Monthly Bulletin"
